race,arrests_count,arrests_proportion,victims_race,victims_count,killings_proportion,expected_count,actual/expected
White,3308679,0.5611677967998969,White,3422,0.4888571428571429,3928,0.8711812627291242
Black,1269901,0.21538128852148722,Black,1960,0.28,1508,1.29973474801061
Native American,115333,0.019561028890479403,Native American,111,0.015857142857142858,137,0.8102189781021898
Asian,60680,0.010291618470639715,Asian,120,0.017142857142857144,72,1.6666666666666667
Pacific Islander,14661,0.0024865757811148464,Pacific Islander,42,0.006,17,2.4705882352941178
Hispanic,1126806,0.1911116915363819,Hispanic,1345,0.19214285714285714,1338,1.0052316890881914
