race,armed,unarmed,total,proportion,unarmed_expected,unarmed_victims_ratio,actual/expected
Asian,95,12,107,0.017986216170785007,18,11.214953271028037,0.6666666666666666
Black,1320,337,1657,0.27853420742982016,285,20.337960168980086,1.182456140350877
Hispanic,911,203,1114,0.187258362750042,191,18.22262118491921,1.0628272251308901
Others,105,14,119,0.020003361909564633,21,11.76470588235294,0.6666666666666666
White,2496,456,2952,0.4962178517397882,507,15.447154471544716,0.8994082840236687
